Unnamed: 0,member1,member2,weight
15677,21561411,225277484,1
20965,96862332,185786033,1
9455,59313302,120681332,2
4881,59475472,198499631,2
14398,219873321,104136232,1
4189,190055719,197066151,2
66,6160486,184328214,2
1983,208569099,206240756,2
6921,225249498,232611325,2
5137,203818557,210614410,4
7998,125274672,208352792,2
23594,191758521,9105503,1
22685,226951319,59475472,1
3322,209224665,86004402,2
8761,192711483,204906987,2
19069,228655199,185881770,1
2812,214729620,63282212,3
23607,191758521,202119345,1
13111,226754592,202702514,1
5690,215910105,195329871,2
22030,85557392,90042112,1
2906,4883361,221838783,2
3256,209224665,223389804,2
4946,211551769,183056813,2
19784,6160486,209888831,1
12793,13631520,154683162,1
7209,12585301,184185824,2
23229,216367274,193728410,1
5844,13993792,7768516,2
24230,189857979,81738522,1
1705,60195472,175300482,2
4878,59475472,13155502,4
1083,50233702,64429432,2
12446,234684445,190675248,1
4855,59475472,13125423,2
2729,214729620,143696682,2
9448,14486634,71851852,2
17735,204669023,202424309,1
14158,115965992,59726852,1
17892,195657825,211398833,1
16054,187334729,183811463,1
17949,195657825,68121142,1
6514,48400472,191664526,2
16580,25034832,207583772,1
7628,141199742,71912792,2
18069,195657825,217015446,1
6401,2069,14638667,2
9374,14486634,97038422,2
14061,115965992,10637650,1
14635,182190122,190055719,1
17361,204669023,216507826,1
509,84738292,81196252,2
11055,191106824,213237301,2
9544,11832553,182992991,2
22683,226951319,205015553,1
11051,191106824,184778124,2
2715,214729620,53788772,2
3046,225412049,1939496,2
15860,78315592,216750436,1
20514,193986670,104146292,1
4981,211551769,225111549,2
10694,184389351,204906987,2
16464,34340942,188141522,1
23130,216367274,226511296,1
15724,21561411,69568352,1
11552,187371529,13220077,2
372,85557392,170208462,2
13360,217350178,199375748,1
13635,205193250,183528621,1
11513,172429262,13606604,2
16159,30179402,217122985,1
467,84738292,197928971,2
11348,187010992,206240756,2
9459,13667508,146040842,2
19794,6160486,192157281,1
8547,211585840,45569562,2
18932,209453152,212108700,1
24164,189857979,216672678,1
12672,234684445,182072982,1
23840,191758521,209407174,1
626,221184268,222930389,2
21325,185106564,214321618,1
3039,225412049,118556542,2
16791,25034832,182763054,1
18346,195657825,211057221,1
1864,208569099,184861611,3
24227,189857979,191000338,1
19629,6160486,214729620,1
14473,219873321,190072794,1
822,207061281,32005912,2
9806,28904692,13606604,2
22672,226951319,217135553,1
3478,208176128,44927672,2
11239,102928292,102323422,2
21243,185106564,12600344,1
21384,185106564,199606953,1
4730,183109097,92158032,2
24650,28573892,120147622,1
15418,101056562,227843931,1
6168,209455030,141055762,2
21887,85557392,202734378,1
7403,5900662,110489102,3
5131,203818557,70666292,2
10951,200052480,196827773,2
13094,226754592,210976335,1
16686,25034832,3380276,1
3848,212403372,22256281,2
5209,203818557,202882025,2
8610,211585840,391708,2
24384,28573892,137425392,1
21474,13795469,11791195,1
16294,211353678,205361764,1
12753,200114206,94791642,1
18090,195657825,81196252,1
3577,9340001,215876742,2
6051,118556542,197913247,2
20717,217907323,185670722,1
2782,214729620,110999952,2
8776,192711483,203244569,2
1873,208569099,47572122,2
12268,216072216,206806749,1
17760,7864416,10933380,1
15763,16384071,185476720,1
12026,198737924,154764282,1
8149,199789219,204906987,2
2225,132809532,201446209,2
2196,203457314,221191725,2
19209,228655199,112175942,1
693,207061281,114279782,2
9315,14486634,184861611,3
15205,210436146,100367272,1
19651,6160486,163173352,1
14066,115965992,18276751,1
21349,185106564,201563685,1
21473,13795469,821311,1
23889,191758521,122905992,1
7438,5900662,183021901,2
23909,191758521,9999847,1
18886,209453152,45178062,1
3152,216892372,191272189,2
19973,6160486,192186790,1
22344,190939281,195569654,1
6265,76842942,150950742,3
15695,21561411,143998632,1
166,6160486,8539046,2
4794,58983922,126066112,4
23659,191758521,41855402,1
88,6160486,12825115,2
20484,193986670,227673289,1
2888,4883361,202811521,2
18708,209453152,191512916,1
5099,203818557,182372032,2
17567,204669023,203729867,1
6916,225249498,75873682,2
9505,212569310,223397758,2
8359,199396025,120761882,2
19503,6160486,203166000,1
7248,12585301,14486634,2
18046,195657825,231433247,1
19699,6160486,93594822,1
16793,25034832,225949237,1
17910,195657825,31072572,1
507,84738292,186373336,2
22167,190939281,13501170,1
36,187334729,209205740,2
3666,215876742,12925101,2
4989,211551769,184389351,3
20281,6160486,190062451,1
10653,14225093,61225682,2
10091,211029382,170786152,2
1462,4686468,206264190,2
22737,226951319,211364706,1
19874,6160486,137230272,1
19843,6160486,213440339,1
15327,101056562,220831181,1
14590,182190122,186239954,1
9072,127601602,154488962,2
12707,234684445,185194375,1
17753,7864416,215859821,1
794,207061281,184778124,3
22585,190939281,72367952,1
1560,60195472,204843833,2
14449,219873321,220624758,1
14428,219873321,205798116,1
4127,190055719,195654361,2
19844,6160486,198440790,1
7014,232524017,206748135,2
5010,203818557,208949319,5
13964,182648870,32159462,1
19136,228655199,215293429,1
14801,198574124,40414482,1
14708,182190122,108480342,1
5031,203818557,204906987,2
5290,203818557,40845292,2
4123,190055719,229831302,2
16678,25034832,91626512,1
16998,229015643,223418347,1
17820,7864416,202806678,1
20968,96862332,149979832,1
17295,204669023,12194747,1
16393,34340942,209205740,1
6209,76842942,75802552,2
22031,85557392,191106824,1
1682,60195472,158793082,4
11421,211554226,198048244,2
8677,211585840,98835872,2
14054,115965992,20207871,1
22358,190939281,203511894,1
23225,216367274,178113422,1
1761,120292052,1673629,2
19067,228655199,197068964,1
2927,207487949,203244569,3
21830,85557392,191424927,1
4561,230884769,153674632,2
12779,200769567,9262917,1
6663,14387362,197727816,3
23698,191758521,211006026,1
10815,184389351,198064675,2
17164,204669023,66609162,1
14001,182648870,127601602,1
11886,53121132,100367272,2
12538,234684445,127214502,1
5144,203818557,225249498,2
14423,219873321,219727544,1
11802,53121132,204129504,2
19038,209453152,217679870,1
14381,219873321,40634792,1
21087,210337917,128254422,1
2097,152011532,184547023,2
21844,85557392,82545112,1
13007,226754592,217760858,1
7660,28608902,146040842,2
17734,204669023,198676467,1
18348,195657825,182577741,1
13412,205193250,189528179,1
23744,191758521,207788795,1
16783,25034832,208352792,1
4891,59475472,105594682,2
19999,6160486,202328604,1
4932,211551769,197424987,2
24986,230457540,51490542,1
20593,193986670,11562849,1
22021,85557392,185941640,1
1297,64455192,33659822,2
16280,211353678,213226004,1
23592,191758521,38506582,1
6918,225249498,126066112,2
19048,228655199,149104712,1
2968,207487949,209223183,2
6899,225249498,216550429,2
8783,192711483,191272189,2
12912,226754592,108448302,1
21952,85557392,11832553,1
20022,6160486,193194664,1
19337,213745765,201815512,1
17048,214466652,190380307,1
10031,195136851,189316019,2
14470,219873321,29720532,1
1094,7602583,184834404,2
1236,146112942,216780271,2
19130,228655199,183783884,1
1473,4686468,217856665,3
13704,205193250,100343252,1
22593,190939281,211611544,1
15145,210436146,120761882,1
7110,199887106,9219838,2
297,85557392,12346968,2
24337,28573892,193843444,1
11373,187010992,32005912,2
4587,230884769,129133182,2
15708,21561411,193045259,1
19255,213745765,195158087,1
22016,85557392,132402812,1
